ClubPlant,Plant,Cluster,SubCluster,Destination,TruckType,DemandTruckFinal
1150/1180,1150,N4,N4,5050,32 MA,2
1150/1180,1150,N4,N4,5050,32 SA,1
1150/1180,1150,N4,N4_1,5050,32 MA,3
1150/1180,1150,N4,N4_1,5050,32 SA,2
1150/1180,1150,N4,N4_1,5120,32 MA,1
1150/1180,1150,N4,N4_1,5120,32 SA,1
1150/1180,1150,N4,N4_1,6200,32 MA,1
1150/1180,1150,N4,N4_1,6200,32 SA,1
1150/1180,1150,N6,N6,5040,32 MA,1
1150/1180,1150,N6,N6,5050,32 MA,1
1150/1180,1150,N6,N6,5050,32 SA,1
1150/1180,1150,N6,N6,5120,32 MA,4
1150/1180,1150,N6,N6,5120,32 SA,1
1150/1180,1150,N5,N5,5040,32 MA,4
1150/1180,1150,N5,N5,5040,32 SA,1
1150/1180,1150,N5,N5,5040,18 FT,1
1150/1180,1150,N5,N5,5050,32 SA,1
1150/1180,1150,N5,N5,5050,32 MA,1
1150/1180,1150,W4,W4,5050,32 MA,1
1150/1180,1150,W4,W4,5050,32 SA,1
1150/1180,1150,W4,W4,7250,32 SA,2
1150/1180,1150,W4,W4,7250,32 MA,1
1150/1180,1150,W4,W4,RAIPUR MOGO,32 SA,1
1150/1180,1150,E4,E4,6000,32 MA,2
1150/1180,1150,E4,E4,6000,32 SA,1
1150/1180,1150,E4,E4,6000,18 FT,2
1150/1180,1150,E4,E4,BHUBANESHWAR MOGO,32 MA,1
1150/1180,1150,E4,E4,BHUBANESHWAR MOGO,32 SA,1
1150/1180,1150,E3,E3,6200,32 MA,2
1150/1180,1150,E3,E3,6200,32 SA,1
1150/1180,1150,W3,W3_1,7000,32 MA,3
1150/1180,1150,W3,W3_1,7000,32 SA,2
1150/1180,1150,W3,W3,7150,32 SA,2
1150/1180,1150,W3,W3,7150,32 MA,3
1150/1180,1150,W3,W3,7250,32 SA,1
1150/1180,1150,W3,W3,8150,32 MA,1
1150/1180,1150,W3,W3,8150,32 SA,1
1150/1180,1150,W3,W3,NAVI MUMBAI MOGO,32 MA,1
1150/1180,1150,W3,W3,NAVI MUMBAI MOGO,32 SA,1
1150/1180,1150,W3,W3,NAGPUR MOGO,32 MA,1
1150/1180,1150,W3,W3,NAGPUR MOGO,32 SA,1
1150/1180,1150,S,S,7150,32 MA,1
1150/1180,1150,S,S,7150,32 SA,1
1150/1180,1150,S,S,7150,18 FT,1
1150/1180,1150,S,S,8150,32 MA,5
1150/1180,1150,S,S,8150,32 SA,6
1150/1180,1150,S,S,8150,18 FT,1
1150/1180,1150,S,S,8300,32 MA,6
1150/1180,1150,S,S,8300,32 SA,3
1150/1180,1150,S,S,8300,18 FT,2
1150/1180,1180,N4,N4,5050,32 MA,4
1150/1180,1180,N4,N4_1,5050,32 MA,2
1150/1180,1180,N4,N4_1,5120,32 MA,1
1150/1180,1180,N4,N4_1,6200,32 MA,2
1150/1180,1180,N6,N6,5040,32 MA,1
1150/1180,1180,N6,N6,5050,32 MA,1
1150/1180,1180,N6,N6,5120,32 MA,4
1150/1180,1180,N5,N5,5040,32 MA,3
1150/1180,1180,N5,N5,5040,18 FT,1
1150/1180,1180,N5,N5,5050,32 MA,1
1150/1180,1180,W4,W4,5050,32 MA,1
1150/1180,1180,W4,W4,7250,32 MA,2
1150/1180,1180,E4,E4,6000,32 MA,2
1150/1180,1180,E4,E4,6000,18 FT,1
1150/1180,1180,E4,E4,BHUBANESHWAR MOGO,32 MA,1
1150/1180,1180,E3,E3,6200,32 MA,2
1150/1180,1180,W3,W3_1,7000,32 MA,3
1150/1180,1180,W3,W3,7150,32 MA,4
1150/1180,1180,W3,W3,7250,32 MA,1
1150/1180,1180,W3,W3,8150,32 MA,1
1150/1180,1180,W3,W3,NAVI MUMBAI MOGO,32 MA,1
1150/1180,1180,W3,W3,NAGPUR MOGO,32 MA,1
1150/1180,1180,S,S,7150,32 MA,1
1150/1180,1180,S,S,8150,32 MA,6
1150/1180,1180,S,S,8150,18 FT,1
1150/1180,1180,S,S,8300,32 MA,6
1150/1180,1180,S,S,8300,18 FT,4

