pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,CarrierCode,CarrierName,CarrierShortName,CarrierOtherName
35,,0,,,,,,,,325006,EAST INDIA TRANSPORT AGENCY,EITA,EAST INDIA
36,,0,,,,,,,,325007,INDO ARYA CENTRAL TRANSPORT LTD,IACTL,INDOARYA
37,,0,,,,,,,,325008,CHINNA TRANSPORT,CHINNA,CHINNA
38,,0,,,,,,,,325019,DEVAKI TRANSPORT,DEVAKI,DEVAKI
39,,0,,,,,,,,325034,KERALA TRANSPORT CO,KTC,KTC
40,,0,,,,,,,,325384,MEGA FREIGHT MOVERS LIMITED,MEGA,MEGA
41,,0,,,,,,,,325398,DELHI GUJARAT FLEET CARRIERS,DGFC,DGFC
42,,0,,,,,,,,325427,ANAND TRANS  LOGISTICS  PRIVATE LTD,ATC,ANAND
43,,0,,,,,,,,325446,RCI LOGISTICS PVT LTD,RCI,RCI
44,,0,,,,,,,,325477,DRS DILIP ROADLINES PRIVATE LTD.,DRS,DRS
45,,0,,,,,,,,325526,AGARWAL PACKERS AND MOVERS LIMITED,APML,APML
46,,0,,,,,,,,325615,ILAN TRANSPORTS,ILAN,ILAN
47,,0,,,,,,,,325719,EXPRESS ROADWAYS PVT. LTD,ERPL,EXPRESS
48,,0,,,,,,,,325770,GNANABELLA LOGISTICS,GBL,GBL
49,,0,,,,,,,,325821,KAPOOR DEISELS GARAGE  PVT LTD,KDL,KAPOOR
50,,0,,,,,,,,325837,TRUE FREIGHT SERVICES (P),TFS,TRUE FREIGHT
51,,0,,,,,,,,325013,VARUNA INTEGRATED LOGISTICS PVT LTD,VRPL,VARUNA
52,,0,,,,,,,,325014,MAHAVEERA TRANSPORT PVT LTD,MTPL,MAHAVEERA
53,,0,,,,,,,,325391,SWASTIK ROAD LINES PVT LTD,SWASTIK,SWASTIK
54,,0,,,,,,,,325544,L G BROTHERS LORRY SERVICES,LGB,LG BROTHERS
55,,0,,,,,,,,325713,TRANSWAY CARGO LIFTERS PRIVATE LIMI,NSTCL,NSTCL
56,,0,,,,,,,,325010,VIKAS ROAD CARRIERS LTD,VIKAS,VIKAS
57,,0,,,,,,,,325018,NORTHERN CARGO SERVICE,NCS,NCS
58,,0,,,,,,,,325791,SHRINIWASA ROADWAYS (P) LTD,SRINIVASA,SHRINIWASA
59,,0,,,,,,,,325792,BLR LOGISTIKS (I) LTD,BLR,BLR
60,,0,,,,,,,,325845,SHREE SHYAM ROAD CARRIER,SSC,SHREE SHYAM
61,,0,,,,,,,,325848,CORE LOGISTICS,CORE,CORE
62,,0,,,,,,,,325857,AVG LOGISTICS PRIVATE LIM,AVG,AVG
63,,0,,,,,,,,325011,COSMO CARRYING PVT LTD,COSMO,COSMO
64,,0,,,,,,,,325559,TRIMURTI CARGO MOVERS PVT LTD,TCM,TRIMURTHI
65,,0,,,,,,,,325824,DELHI BARODA ROAD CARRIERM Pvt Ltd,DBRC,DBRC
66,,0,,,,,,,,325266,HARSH TRANSPORT PVT LTD,HARSH,HARSH
67,,0,,,,,,,,999999,DEDICATED TRUCKS,DEDT,DEDICATED
68,,0,,,,,,,,325872,TRANSRAIL LOGISTICS LIMITED,TLL,TRANSRAIL
69,,0,,,,,,,,325880,TRUCKSFIRST SERVICES PVT. LTD.,TFSPL,TRUCKSFIRST

