Plant,Cluster,SubCluster,TruckType,Transporter,PercShare,TotalShare,FinalPerShare,Supply,Count
1150/1180,N4,N4,32 MA,COSMO,10,200,0.05,2,11
1150/1180,N4,N4,32 MA,DBRC,15,200,0.075,3,15
1150/1180,N4,N4,32 MA,EXPRESS,35,200,0.175,7,0
1150/1180,N4,N4,32 MA,LG BROTHERS,30,200,0.15,6,0
1150/1180,N4,N4,32 MA,RCI,55,200,0.275,11,40
1150/1180,N4,N4,32 MA,VARUNA,55,200,0.275,11,50
1150/1180,N5,N5,32 MA,DBRC,15,125,0.12,3,13
1150/1180,N5,N5,32 MA,DRS,25,125,0.2,4,11
1150/1180,N5,N5,32 MA,LG BROTHERS,20,125,0.16,3,0
1150/1180,N5,N5,32 MA,RCI,35,125,0.28,6,16
1150/1180,N5,N5,32 MA,VARUNA,30,125,0.24,5,9
1150/1180,N6,N6,32 MA,DBRC,15,110,0.136363636,3,7
1150/1180,N6,N6,32 MA,DRS,20,110,0.181818182,3,4
1150/1180,N6,N6,32 MA,LG BROTHERS,20,110,0.181818182,3,0
1150/1180,N6,N6,32 MA,RCI,30,110,0.272727273,5,13
1150/1180,N6,N6,32 MA,VARUNA,25,110,0.227272727,4,11
1150/1180,W3,W3,32 MA,APML,10,98,0.102040816,5,8
1150/1180,W3,W3_1,32 MA,APML,5,40,0.125,2,0
1150/1180,W3,W3,32 MA,DGFC,15,98,0.153061224,7,26
1150/1180,W3,W3_1,32 MA,DGFC,5,40,0.125,2,0
1150/1180,W3,W3,32 MA,EAST INDIA,10,98,0.102040816,5,0
1150/1180,W3,W3_1,32 MA,EAST INDIA,5,40,0.125,2,0
1150/1180,W3,W3,32 MA,EXPRESS,25,98,0.255102041,11,0
1150/1180,W3,W3_1,32 MA,EXPRESS,10,40,0.25,4,0
1150/1180,W3,W3,32 MA,MEGA,15,98,0.153061224,7,17
1150/1180,W3,W3_1,32 MA,MEGA,3,40,0.075,2,0
1150/1180,W3,W3,32 MA,RCI,15,98,0.153061224,7,19
1150/1180,W3,W3_1,32 MA,RCI,10,40,0.25,4,0
1150/1180,W3,W3,32 MA,SWASTIK,8,98,0.081632653,4,5
1150/1180,W3,W3_1,32 MA,SWASTIK,2,40,0.05,1,0
1150/1180,W4,W4,32 MA,RCI,45,85,0.529411765,13,20
1150/1180,W4,W4,32 MA,SWASTIK,25,85,0.294117647,7,14
1150/1180,W4,W4,32 MA,TRUE FREIGHT,15,85,0.176470588,5,0
1150/1180,E3,E3,32 MA,ANAND,12,107,0.112149533,2,0
1150/1180,E3,E3,32 MA,DGFC,25,107,0.23364486,4,11
1150/1180,E3,E3,32 MA,KAPOOR,15,107,0.140186916,3,11
1150/1180,E3,E3,32 MA,KTC,12,107,0.112149533,2,6
1150/1180,E3,E3,32 MA,NCS,12,107,0.112149533,2,12
1150/1180,E3,E3,32 MA,TRIMURTHI,6,107,0.056074766,1,0
1150/1180,E3,E3,32 MA,VARUNA,25,107,0.23364486,4,9
1150/1180,E4,E4,32 MA,ANAND,28,122,0.229508197,6,0
1150/1180,E4,E4,32 MA,KAPOOR,30,122,0.245901639,7,15
1150/1180,E4,E4,32 MA,KTC,12,122,0.098360656,3,6
1150/1180,E4,E4,32 MA,NCS,18,122,0.147540984,4,17
1150/1180,E4,E4,32 MA,RCI,9,122,0.073770492,2,4
1150/1180,E4,E4,32 MA,VARUNA,25,122,0.204918033,6,15
1150/1180,S,S,18 FT,KTC,320,445,0.719101124,26,0
1150/1180,S,S,18 FT,MEGA,95,445,0.213483146,8,0
1150/1180,S,S,18 FT,GNANABELLA,30,445,0.06741573,3,0
1150/1180,S,S,32 MA,VARUNA,30,102,0.294117647,34,13
1150/1180,S,S,32 MA,EXPRESS,12,102,0.117647059,14,0
1150/1180,S,S,32 MA,COSMO,60,102,0.588235294,68,1
1150/1180,N4,N4,32 SA,LGB,15,50,0.3,11,0
1150/1180,N4,N4,32 SA,RCI,15,50,0.3,11,0
1150/1180,N4,N4,32 SA,VARUNA,20,50,0.4,14,0
1150/1180,N5,N5,32 SA,LGB,10,20,0.5,3,0
1150/1180,N5,N5,32 SA,RCI,5,20,0.25,2,0
1150/1180,N5,N5,32 SA,VARUNA,5,20,0.25,2,0
1150/1180,N6,N6,32 SA,LGB,10,20,0.5,5,0
1150/1180,N6,N6,32 SA,RCI,5,20,0.25,3,0
1150/1180,N6,N6,32 SA,VARUNA,5,20,0.25,3,0
