Plant,Custer,Operator,Supply
1150,E3,DGFC,7
1150,E3,VARUNA,16
1150,E3,KAPOOR,10
1150,E3,ANAND,8
1150,E3,KTC,8
1150,E3,NCS,8
1150,E3,TRIMURTHI,4
1150,E4,KAPOOR,35
1150,E4,ANAND,33
1150,E4,NCS,21
1150,E4,KTC,14
1150,E4,RCI,19
1150,E4,VARUNA,4
1150,N4,RCI,20
1150,N4,VARUNA,19
1150,N4,EXPRESS,16
1150,N4,LGB,14
1150,N4,DBRC,7
1150,N4,COSMO,5
1150,N5,RCI,29
1150,N5,VARUNA,25
1150,N5,LGB,24
1150,N5,DBRC,12
1150,N5,DRS,2
1150,N6,RCI,7
1150,N6,VARUNA,11
1150,N6,DRS,9
1150,N6,LGB,9
1150,N6,DBRC,7
1150,W3,EXPRESS,57
1150,W3,RCI,41
1150,W3,DGFC,33
1150,W3,MEGA,29
1150,W3,SWASTIK,32
1150,W3,APML,4
1150,W3,EAST INDIA,4
1150,W3_1,EXPRESS,12
1150,W3_1,DGFC,4
1150,W3_1,EAST INDIA,4
1150,W3_1,APML,3
1150,W3_1,RCI,1
1150,W4,RCI,64
1150,W4,SWASTIK,35
1150,W4,TRUE FREIGHT,8
